Titles,Subtitle,Link,Data Headline
PAUL IN,Paul Pogba tipped to join Arsenal when drug ban ends by ex-Gunners star,https://www.thesun.co.uk/sport/31261382/paul-pogba-tipped-join-arsenal-drugs-ban-sagna/, Paul Pogba tipped to join Arsenal when drug ban ends by ex-Gunners star
NO WAY JACK,Jack Wilshere's Arsenal exit may have knock-on effect on future of 'next Kaka',https://www.thesun.co.uk/sport/31249198/jack-wilshere-arsenal-exit-max-dowman/, Jack Wilshere's Arsenal exit may have knock-on effect on future of 'next Kaka'
UN-DUR CONSIDERATION,Arsenal 'battling Chelsea and Barcelona for shock Jhon Duran transfer',https://www.thesun.co.uk/sport/31244758/arsenal-battling-chelsea-barcelona-jhon-duran-transfer/, Arsenal 'battling Chelsea and Barcelona for shock Jhon Duran transfer'
AL TO PLAY FOR,Arsenal boost as Newcastle not in contract talks with star striker Isak,https://www.thesun.co.uk/sport/31299515/alexander-isak-newcastle-contract-arsenal-transfer/, Arsenal boost as Newcastle not in contract talks with star striker Isak
MAKING A SPLASH,Premier League club announce plans to redevelop stand with aquatics centre,https://www.thesun.co.uk/sport/31301672/ipswich-redevelop-stand-hotel-aquatics-centre/, Premier League club announce plans to redevelop stand with aquatics centre
WHAT A VAR-CE,Premier League table without VAR revealed with Man City two points worse off,https://www.thesun.co.uk/sport/31269931/premier-league-table-without-var-revealed-man-city-bournemouth/, Premier League table without VAR revealed with Man City two points worse off
WATCHMEN,Gerrard admits scheduling Al-Ettifaq training around watching Liverpool,https://www.thesun.co.uk/sport/31273853/steven-gerrard-al-ettifaq-training-watching-liverpool/, Gerrard admits scheduling Al-Ettifaq training around watching Liverpool
REMEMBER THE NEYM,"'Guy isn't real,' say Chelsea fans as new signing breaks Neymar's record",https://www.thesun.co.uk/sport/31274968/estevao-willian-breaks-neymar-record-chelsea-fans/," 'Guy isn't real,' say Chelsea fans as new signing breaks Neymar's record"
BRIGHT MOVE,Premier League hero who 'needs no introduction' lands first job at Brighton,https://www.thesun.co.uk/sport/31299970/premier-league-brighton-bobby-zamora/, Premier League hero who 'needs no introduction' lands first job at Brighton
KARREN BRADY,Football isn’t broken and Starmer’s plan to fix it will create more problems,https://www.thesun.co.uk/sport/31320000/karren-brady-keir-starmer-football-bill/, Football isn’t broken and Starmer’s plan to fix it will create more problems
ANDY DILLON,Marinakis ref spat is so poor... the Forest chief is undoing all his hard work,https://www.thesun.co.uk/sport/31297516/marinakis-ref-spat-andy-dillon-forest/, Marinakis ref spat is so poor... the Forest chief is undoing all his hard work
TROY DEENEY,Tuchel getting England job was no betrayal - he gives us best World Cup chance,https://www.thesun.co.uk/sport/31170376/thomas-tuchel-england-world-cup-troy-deeney/, Tuchel getting England job was no betrayal - he gives us best World Cup chance
